STT,Wrong,Right
58,nói chuyện nghe rất hòa hã,nói chuyện nghe rất hòa nhã
59,hệ thống chính trị Mỷ ,hệ thống chính trị Mỹ
60,nếu bị rát mong thì bạn nên dùng thuốc,nếu bị rát mông thì bạn nên dùng thuốc
61,như thế lày,như thế này
62,Tôi luôn ngưỡn mộ và ủng hộ,Tôi luôn ngưỡng mộ và ủng hộ
63,sē cãm thâÿ vui hön,sẽ cảm thấy vui hơn
64,tôi tự vo,tôi tự do
65,sự đau khổ cua người,sự đau khổ của người
66,đọc tài,độc tài
67,độc sách,đọc sách
68,Đặt tên cung cơm,Đặt tên cúng cơm
69,lật đỗ,lật đổ
70,mưu muội,ngu muội
71,cùng nhau năm tay ,cùng nhau nắm tay 
72,hảy suy nghỉ,hãy suy nghĩ
73,lật đỏ xe,lật đổ xe
74,người dân chống giặt,người dân chống giặc
75,mời giặt vao nhà,mời giặc vào nhà
76,mày còn binh nó nữa,mày còn bênh nó nữa
77,có khã năng ,có khả năng 
78,bệnh ung thư đi căn,bệnh ung thư di căn
79,nó sẻ tự tan rả,nó sẽ tự tan rã
80,lảm nhãn,lảm nhảm
81,gian lặng phiếu,gian lận phiếu
82,sắp tới bầu cử giữ mùa,sắp tới bầu cử giữa mùa
83,zui zẻ,vui vẻ
84,mot nagn lan,một ngàn lần
85,bản tánh ích kĩ ,bản tánh ích kỷ
86,bản tánh ích kĩ,bản tánh ích kỉ
87,bản tánh ích kĩ ,bản tính ích kỷ 
88,chú 7 bị yết sinh lý,chú 7 bị yếu sinh lý
89,bể lớp xe,bể lốp xe
90,ra lịnh,ra lệnh
91,Lắy chồng,lấy chồng
92,đễ trã nọ,để trả nợ
93,Liên Xô củ,Liên Xô cũ
94,vị lảnh tụ,vị lãnh tụ
95,quá thô bao,quá thô bạo
96,tên dặm tắc,tên dâm tặc
97,ấu râm ,ấu dâm
98,xấu hổ púa,xấu hổ quá
99,hết y kiến ,hết ý kiến
100,Ht lời để nói ,hết lời để nói
101,lính mẽo,lính mỹ
102,"đả lắm, sướng lỗ tai","đã lắm, sướng lỗ tai"
103,nge anh nói chuyện ,nghe anh nói chuyện 
104,muôn nem ,muôn năm
105,kinh tỏm,kinh tởm
106,tin buồn noan báo trên đài,tin buồn loan báo trên đài
107,mùa nắg,mùa nắng
108,cái chớt bất ngờ,cái chết bất ngờ
109,cứ thíc đi,cứ thích đi
110,giòng sông seine,dòng sông seine
111,Đất thủ đô mắt hơn tokyo,Đất thủ đô mắc hơn tokyo
112,quá hảo huyền,quá hão huyền
113,hắn thường lói ,hắn thường nói
114,mùa lày,mùa này
115,xe ta boong boong,xe ta bon bon
116,nghiện bài nì dồi,nghiện bài này rồi
117,dai điệu của bài hát,giai điệu của bài hát
118,làm sao thjếu mjk đc,làm sao thiếu mình được
119,co mik ne ,có mình nè
120,nút bạc cũa youtube,nút bạc của youtube
121,trái bôm,trái bom
122,zòg tròn,vòng tròn
123,quân tao cái áo,quăng tao cái áo
124,làm qen,làm quen
125,cứ mặc kỵ,cứ mặc kệ
126,coi quài mà ko chán,coi hoài mà không chán
127,trái bơm,trái bom
128,thich nge bài này,thích nghe bài này
